date,event,url,doc,url_doc
21-03,Week of Solidarity with the Peoples Struggling against Racism and Racial Discrimination,https://www.un.org/en/observances/end-racism-day,A/RES/34/24,http://undocs.org/en/A/RES/34/24
21-03,World Poetry Day,https://www.un.org/en/observances/world-poetry-day,UNESCO 30 C/Resolution 29,https://unesdoc.unesco.org/ark:/48223/pf0000118514.page=70
21-03,International Day of Nowruz,https://www.un.org/en/observances/international-nowruz-day,A/RES/64/253,https://undocs.org/en/A/RES/64/253
21-03,World Down Syndrome Day,https://www.un.org/en/observances/down-syndrome-day,A/RES/66/149,http://undocs.org/en/A/RES/66/149
21-03,International Day of Forests,https://www.un.org/en/observances/forests-and-trees-day,A/RES/67/200,http://undocs.org/en/A/RES/67/200
22-03,World Water Day,https://www.un.org/en/observances/water-day,A/RES/47/193,http://undocs.org/en/A/RES/47/193
23-03,World Meteorological Day,https://worldmetday.wmo.int/,WMO/EC-XII/Res.6,
24-03,World Tuberculosis Day,https://www.who.int/campaigns/world-tb-day/world-tb-day-2019,,
24-03,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims,https://www.un.org/en/observances/right-to-truth-day,A/RES/65/196,http://undocs.org/en/A/RES/67/200
25-03,International Day of Remembrance of the Victims of Slavery and the Transatlantic Slave Trade,http://www.un.org/en/events/slaveryremembranceday/,A/RES/62/122,http://undocs.org/en/A/RES/62/122
25-03,International Day of Solidarity with Detained and Missing Staff Members,https://www.un.org/en/observances/detained-staff-day,A/RES/49/59,http://undocs.org/en/A/RES/49/59
02-04,World Autism Awareness Day,https://www.un.org/en/observances/autism-day,A/RES/62/139,http://undocs.org/en/A/RES/62/139
04-04,International Day for Mine Awareness and Assistance in Mine Action,https://www.un.org/en/observances/mine-awareness-day,A/RES/60/97,http://undocs.org/en/A/RES/60/97
05-04,International Day of Conscience,https://www.un.org/en/observances/conscience-day,A/RES/73/329,https://undocs.org/en/A/RES/73/329
06-04,International Day of Sport for Development and Peace,https://www.un.org/en/observances/sport-day,A/RES/67/296,http://undocs.org/en/A/RES/67/296
07-04,International Day of Reflection on the 1994 Genocide against the Tutsi in Rwanda,http://www.un.org/en/preventgenocide/rwanda/commemoration/annualcommemoration.shtml,A/RES/58/234,https://undocs.org/en/A/RES/58/234
07-04,World Health Day,https://www.who.int/campaigns/world-health-day/2021,WHA/A.2/Res.35,
12-04,International Day of Human Space Flight,https://www.un.org/en/observances/human-spaceflight-day,A/RES/65/271,http://undocs.org/en/A/RES/65/271
14-04,World Chagas Disease Day,https://www.who.int/campaigns/world-chagas-disease-day,,
20-04,Chinese Language Day,http://www.un.org/zh/events/chineselanguageday/,,
21-04,World Creativity and Innovation Day,https://www.un.org/en/observances/creativity-and-innovation-day,A/RES/71/284,http://undocs.org/en/A/RES/71/284
22-04,International Girls in ICT Day,https://www.itu.int/en/ITU-D/Digital-Inclusion/Women-and-Girls/Girls-in-ICT-Portal/Pages/Portal.aspx,,
22-04,International Mother Earth Day,https://www.un.org/en/observances/earth-day,A/RES/63/278,http://undocs.org/en/A/RES/63/278
23-04,World Book and Copyright Day,https://www.un.org/en/observances/book-and-copyright-day,UNESCO 28 C/Resolution 3.18,https://unesdoc.unesco.org/ark:/48223/pf0000101803.page=56
23-04,English Language Day,https://www.un.org/en/observances/english-language-day,,
23-04,Spanish Language Day,http://www.un.org/es/events/spanishlanguageday/,,
24-04,World Immunization Week [WHO],https://www.who.int/campaigns/world-immunization-week/2021,,
24-04,International Day of Multilateralism and Diplomacy for Peace,https://www.un.org/en/observances/Multilateralism-for-Peace-day,A/RES/73/127,http://undocs.org/en/A/RES/73/127
25-04,World Malaria Day,https://www.who.int/campaigns/world-malaria-day/world-malaria-day-2021,,
25-04,International Delegate’s Day,https://www.un.org/en/observances/delegates-day,A/RES/73/286,http://undocs.org/en/A/RES/73/127
26-04,International Chernobyl Disaster Remembrance Day,https://www.un.org/en/observances/chernobyl-remembrance-day,A/RES/71/125,http://undocs.org/en/A/RES/71/125
26-04,World Intellectual Property Day,http://www.wipo.int/ip-outreach/en/ipday/,,
28-04,World Day for Safety and Health at Work,https://www.un.org/en/observances/work-safety-day,,
30-04,International Jazz Day,https://www.un.org/en/observances/jazz-day,UNESCO 36 C/Resolution 39,https://unesdoc.unesco.org/ark:/48223/pf0000215084.page=53
02-05,World Tuna Day,https://www.un.org/en/observances/tuna-day,A/RES/71/124,http://undocs.org/en/A/RES/71/124
03-05,World Press Freedom Day,https://www.un.org/en/observances/press-freedom-day,UNESCO 26 C/Resolution 4.3,https://unesdoc.unesco.org/ark:/48223/pf0000090448.page=76
05-05,World Portuguese Language Day [UNESCO],https://en.unesco.org/commemorations/portuguese-language-day,,
08-05,World Migratory Bird Day,http://www.worldmigratorybirdday.org/,,
08-05,Time of Remembrance and Reconciliation for Those Who Lost Their Lives During the Second World War,https://www.un.org/en/observances/second-world-war-remembrance-days,A/RES/59/26,http://undocs.org/en/A/RES/59/26
10-05,International Day of Argania,https://www.un.org/en/observances/argania-day,A/RES/75/262,https://undocs.org/en/A/RES/75/262
